no,ch1,ch2,ch3,ch4
259,-0.003967285,-0.01403809,-0.01190186,-0.005493164
260,-0.004272461,-0.008239746,-0.03082275,-0.03570557
261,-0.02838135,-0.01708984,-0.03936768,-0.0491333
262,-0.04394531,-0.03387451,-0.03753662,-0.04180908
263,-0.04821777,-0.03570557,-0.02655029,-0.01953125
264,-0.04547119,-0.03997803,-0.00579834,0.01708984
265,-0.01556396,-0.027771,-0.01068115,0.01312256
266,-0.006408691,-0.01739502,-0.0112915,0.009155273
267,-0.004882813,-0.01281738,-0.0100708,-0.00213623
268,-0.01159668,-0.01922607,-0.01373291,-0.01586914
269,-0.01678467,-0.02441406,-0.03112793,-0.0402832
270,-0.03356934,-0.02532959,-0.01831055,-0.02990723
271,-0.03631592,-0.03662109,-0.01281738,-0.01159668
272,-0.03417969,-0.04180908,-0.00579834,0.0177002
273,-0.008850098,-0.02166748,0.004272461,0.02502441
274,-0.0006103516,-0.01403809,0.003356934,0.01373291
275,-0.003662109,-0.01159668,-0.007324219,0.007019043
276,-0.001525879,-0.003356934,-0.02502441,-0.02838135
277,-0.0213623,-0.006408691,-0.03448486,-0.05340576
278,-0.04394531,-0.02624512,-0.03448486,-0.04547119
279,-0.04974365,-0.0378418,-0.027771,-0.0302124
280,-0.04638672,-0.03967285,-0.01983643,-0.002746582
281,-0.03326416,-0.03265381,-0.01342773,0.01312256
282,-0.01434326,-0.01953125,-0.009460449,0.009460449
283,-0.009155273,-0.01739502,-0.003967285,0.006408691
284,-0.008239746,-0.01281738,-0.008239746,-0.0003051758
285,-0.0112915,-0.01678467,-0.02258301,-0.02319336
286,-0.02105713,-0.02410889,-0.03204346,-0.03448486
287,-0.03875732,-0.0289917,-0.027771,-0.02868652
288,-0.05401611,-0.04302979,-0.01251221,0.00793457
289,-0.03295898,-0.03387451,-0.0003051758,0.03326416
290,-0.0100708,-0.01922607,-0.003967285,0.02563477
291,-0.003662109,-0.008850098,-0.0100708,0.01312256
292,-0.002441406,-0.004272461,-0.009460449,-0.0006103516
293,-0.007629395,-0.009460449,-0.02349854,-0.03387451
294,-0.02593994,-0.02227783,-0.04180908,-0.05187988
295,-0.04455566,-0.027771,-0.03540039,-0.03692627
296,-0.04547119,-0.0378418,-0.03387451,-0.02807617
297,-0.03875732,-0.03997803,-0.008850098,-0.005493164
298,-0.0213623,-0.03570557,-0.0003051758,0.01342773
299,-0.01251221,-0.02532959,-0.007019043,0.01495361
300,0.0003051758,-0.01647949,-0.008850098,0.001525879
301,0.0006103516,-0.01525879,-0.02655029,-0.03051758
302,-0.01464844,-0.008850098,-0.02166748,-0.04058838
303,-0.04119873,-0.02624512,-0.02105713,-0.0302124
304,-0.04943848,-0.03601074,-0.01373291,-0.00579834
305,-0.0402832,-0.03601074,-0.006408691,0.01617432
306,-0.02288818,-0.03082275,-0.0006103516,0.02288818
307,-0.00579834,-0.01922607,-0.002441406,0.009765625
308,-0.003662109,-0.007019043,0.006713867,0.01556396
309,-0.006408691,-0.009155273,-0.01556396,0
310,-0.0112915,-0.01342773,-0.03723145,-0.04180908
311,-0.03479004,-0.03082275,-0.04333496,-0.05493164
312,-0.04486084,-0.03387451,-0.03082275,-0.0390625
313,-0.04638672,-0.0402832,-0.01617432,-0.008850098
314,-0.03997803,-0.04364014,-0.02044678,0.009155273
315,-0.01831055,-0.02258301,-0.01190186,0.01098633
316,-0.009155273,-0.01037598,-0.009460449,0.001831055
317,-0.008850098,-0.00793457,0.0009155273,0.007019043
318,-0.004882813,-0.01403809,-0.01861572,-0.02502441
319,-0.01831055,-0.02502441,-0.02716064,-0.04608154
320,-0.02685547,-0.02929688,-0.02197266,-0.03814697
321,-0.03997803,-0.03082275,-0.004882813,-0.007629395
322,-0.03143311,-0.03570557,0.006713867,0.02105713
323,-0.007629395,-0.02563477,0.003051758,0.02105713
324,0,-0.01556396,-0.01068115,0.0112915
325,0.001525879,-0.0006103516,-0.004577637,-0.0003051758
326,-0.01190186,-0.01373291,-0.01556396,-0.01098633
327,-0.01586914,-0.02105713,-0.03936768,-0.04058838
328,-0.04364014,-0.03631592,-0.04547119,-0.03387451
329,-0.03845215,-0.03875732,-0.03967285,-0.02960205
330,-0.03753662,-0.03936768,-0.02044678,-0.006408691
331,-0.03112793,-0.02960205,-0.01068115,0.01403809
332,-0.01678467,-0.01831055,-0.004272461,0.008850098
333,-0.009155273,-0.01312256,-0.006713867,0.004577637
334,-0.01312256,-0.01800537,-0.0201416,-0.006408691
335,-0.008544922,-0.01678467,-0.03173828,-0.02807617
336,-0.02685547,-0.02258301,-0.03631592,-0.03326416
337,-0.03662109,-0.02197266,-0.01922607,-0.03234863
338,-0.04486084,-0.03845215,-0.0003051758,0.002746582
339,-0.02044678,-0.03234863,0.00793457,0.01800537
340,-0.003356934,-0.02288818,0.006103516,0.00793457
341,-0.005187988,-0.01708984,0.01159668,0.01617432
342,-0.002441406,-0.01312256,-0.01098633,-0.0009155273
343,-0.009765625,-0.007629395,-0.02166748,-0.02227783
344,-0.02410889,-0.02593994,-0.04547119,-0.0479126
345,-0.04119873,-0.03814697,-0.04638672,-0.04425049
346,-0.04302979,-0.03204346,-0.02197266,-0.01800537
347,-0.03967285,-0.03082275,-0.00579834,0.004272461
348,-0.02685547,-0.03387451,-0.006713867,0.01281738
349,-0.008850098,-0.02197266,-0.00793457,0.01190186
350,-0.00793457,-0.01708984,-0.01312256,0.005187988
351,-0.00793457,-0.008850098,-0.01251221,-0.0009155273
352,-0.01373291,-0.01617432,-0.03204346,-0.02563477
353,-0.0302124,-0.02960205,-0.03509521,-0.02044678
354,-0.02838135,-0.03204346,-0.02258301,-0.01617432
355,-0.02655029,-0.03417969,-0.002746582,0.01281738
